Time,,,,,,Lidar1,Lidar2
854,,,,,,120,300
855,,,,,,128,303
856,,,,,,130,305
857,,,,,,126,305
858,,,,,,125,306
859,,,,,,123,307
860,,,,,,123,308
861,,,,,,120,313
862,,,,,,121,308
863,,,,,,118,311
864,,,,,,122,312
865,,,,,,120,311
866,,,,,,117,316
867,,,,,,120,317
868,,,,,,119,317
869,,,,,,120,313
870,,,,,,116,313
871,,,,,,117,314
872,,,,,,118,316
873,,,,,,115,323
874,,,,,,117,333
875,,,,,,116,323
876,,,,,,116,293
877,,,,,,117,295
878,,,,,,115,308
879,,,,,,116,318
880,,,,,,115,335
881,,,,,,115,348
882,,,,,,114,359
883,,,,,,115,369
884,,,,,,115,370
885,,,,,,114,377
886,,,,,,117,373
887,,,,,,115,374
888,,,,,,113,307
889,,,,,,114,236
890,,,,,,115,209
891,,,,,,114,212
892,,,,,,113,271
893,,,,,,113,373
894,,,,,,115,373
895,,,,,,112,376
896,,,,,,113,367
897,,,,,,113,375
898,,,,,,112,377
899,,,,,,112,375
900,,,,,,113,374
901,,,,,,111,376
902,,,,,,114,373
903,,,,,,115,374
904,,,,,,112,371
905,,,,,,114,369
906,,,,,,112,370
907,,,,,,114,365
908,,,,,,111,371
909,,,,,,112,359
910,,,,,,111,365
911,,,,,,111,363
912,,,,,,112,364
913,,,,,,115,365
914,,,,,,112,360
915,,,,,,112,362
916,,,,,,111,361
917,,,,,,111,359
918,,,,,,112,356
919,,,,,,111,349
920,,,,,,112,356
921,,,,,,111,351
922,,,,,,112,351
923,,,,,,111,349
924,,,,,,70,344
925,,,,,,65,344
926,,,,,,66,341
927,,,,,,65,340
928,,,,,,65,344
929,,,,,,61,344
930,,,,,,57,340
931,,,,,,56,342
932,,,,,,55,337
933,,,,,,46,342
934,,,,,,47,335
935,,,,,,48,341
936,,,,,,54,336
937,,,,,,54,337
938,,,,,,47,340
939,,,,,,53,335
940,,,,,,56,338
941,,,,,,55,334
942,,,,,,55,335
943,,,,,,53,333
944,,,,,,48,332
945,,,,,,50,340
946,,,,,,49,335
947,,,,,,50,335
948,,,,,,49,337
949,,,,,,48,333
950,,,,,,50,333
951,,,,,,48,333
952,,,,,,55,329
953,,,,,,53,334
954,,,,,,59,333
955,,,,,,55,327
956,,,,,,56,329
957,,,,,,55,329
958,,,,,,57,329
959,,,,,,57,330
960,,,,,,54,334
961,,,,,,54,330
962,,,,,,55,327
963,,,,,,55,329
964,,,,,,57,327
965,,,,,,55,329
966,,,,,,55,329
967,,,,,,60,329
968,,,,,,65,330
969,,,,,,69,333
970,,,,,,75,330
971,,,,,,74,332
972,,,,,,81,333
973,,,,,,78,331
974,,,,,,86,334
975,,,,,,89,329
976,,,,,,94,326
977,,,,,,96,330
978,,,,,,94,331
979,,,,,,97,332
980,,,,,,95,332
981,,,,,,93,336
982,,,,,,91,328
983,,,,,,80,329
984,,,,,,68,331
985,,,,,,64,334
986,,,,,,58,331
987,,,,,,54,336
988,,,,,,57,332
989,,,,,,56,332
990,,,,,,51,333
991,,,,,,49,330
992,,,,,,47,332
993,,,,,,50,335
994,,,,,,50,332
995,,,,,,46,333
996,,,,,,50,330
997,,,,,,49,330
998,,,,,,51,333
999,,,,,,54,332
1000,,,,,,63,330
1001,,,,,,68,328
1002,,,,,,78,334
1003,,,,,,91,334
1004,,,,,,98,331
1005,,,,,,104,334
1006,,,,,,107,333
1007,,,,,,112,335
1008,,,,,,113,331
1009,,,,,,110,335
1010,,,,,,111,337
1011,,,,,,112,331
1012,,,,,,107,331
1013,,,,,,98,333
1014,,,,,,91,333
1015,,,,,,79,332
1016,,,,,,68,336
1017,,,,,,72,331
1018,,,,,,63,331
1019,,,,,,54,333
1020,,,,,,56,332
1021,,,,,,53,336
1022,,,,,,51,334
1023,,,,,,47,338
1024,,,,,,48,330
1025,,,,,,50,334
1026,,,,,,55,331
1027,,,,,,59,332
1028,,,,,,70,333
1029,,,,,,75,331
1030,,,,,,85,338
1031,,,,,,91,334
1032,,,,,,101,338
1033,,,,,,106,334
1034,,,,,,113,336
1035,,,,,,113,337
1036,,,,,,112,333
1037,,,,,,108,337
1038,,,,,,104,334
1039,,,,,,95,333
1040,,,,,,78,334
1041,,,,,,69,336
1042,,,,,,65,336
1043,,,,,,60,332
1044,,,,,,57,336
1045,,,,,,55,339
1046,,,,,,52,333
1047,,,,,,53,332
1048,,,,,,53,334
1049,,,,,,54,330
1050,,,,,,60,335
1051,,,,,,74,326
1052,,,,,,80,327
1053,,,,,,93,335
1054,,,,,,104,331
1055,,,,,,113,334
1056,,,,,,117,332
1057,,,,,,118,333
1058,,,,,,117,336
1059,,,,,,116,337
1060,,,,,,110,335
1061,,,,,,98,331
1062,,,,,,82,332
1063,,,,,,66,332
1064,,,,,,64,333
1065,,,,,,54,338
1066,,,,,,54,335
1067,,,,,,48,340
1068,,,,,,48,336
1069,,,,,,49,335
1070,,,,,,48,336
1071,,,,,,56,334
1072,,,,,,69,330
1073,,,,,,75,332
1074,,,,,,95,334
1075,,,,,,108,335
1076,,,,,,115,335
1077,,,,,,119,336
1078,,,,,,116,333
1079,,,,,,119,334
1080,,,,,,118,339
1081,,,,,,112,337
1082,,,,,,97,333
1083,,,,,,81,334
1084,,,,,,70,336
1085,,,,,,68,336
1086,,,,,,54,335
1087,,,,,,52,336
1088,,,,,,50,334
1089,,,,,,48,337
1090,,,,,,46,337
1091,,,,,,47,336
1092,,,,,,49,334
1093,,,,,,47,333
1094,,,,,,52,329
1095,,,,,,61,333
1096,,,,,,74,336
1097,,,,,,76,334
1098,,,,,,94,334
1099,,,,,,106,333
1100,,,,,,110,333
1101,,,,,,116,332
1102,,,,,,117,331
1103,,,,,,118,333
1104,,,,,,113,331
1105,,,,,,103,336
1106,,,,,,93,332
1107,,,,,,74,331
1108,,,,,,70,334
1109,,,,,,61,335
1110,,,,,,54,337
1111,,,,,,55,335
1112,,,,,,55,333
1113,,,,,,49,336
1114,,,,,,50,337
1115,,,,,,48,337
1116,,,,,,48,337
1117,,,,,,51,338
1118,,,,,,57,335
1119,,,,,,55,333
1120,,,,,,77,333
1121,,,,,,88,334
1122,,,,,,101,335
1123,,,,,,110,333
1124,,,,,,111,333
1125,,,,,,113,336
1126,,,,,,114,334
1127,,,,,,111,335
1128,,,,,,107,331
1129,,,,,,90,333
1130,,,,,,71,335
1131,,,,,,61,336
1132,,,,,,57,332
1133,,,,,,49,336
1134,,,,,,45,331
1135,,,,,,46,333
1136,,,,,,48,330
1137,,,,,,56,333
1138,,,,,,59,334
1139,,,,,,70,339
1140,,,,,,78,331
1141,,,,,,86,335
1142,,,,,,104,334
1143,,,,,,115,331
1144,,,,,,116,334
1145,,,,,,119,337
1146,,,,,,115,332
1147,,,,,,112,335
1148,,,,,,107,336
1149,,,,,,94,338
1150,,,,,,78,332
1151,,,,,,72,337
1152,,,,,,61,334
1153,,,,,,55,335
1154,,,,,,54,335
1155,,,,,,49,337
1156,,,,,,50,336
1157,,,,,,49,335
1158,,,,,,57,334
1159,,,,,,66,334
1160,,,,,,76,337
1161,,,,,,94,334
1162,,,,,,106,337
1163,,,,,,110,335
1164,,,,,,114,338
1165,,,,,,114,334
1166,,,,,,109,334
1167,,,,,,105,337
1168,,,,,,97,335
1169,,,,,,84,338
1170,,,,,,71,339
1171,,,,,,62,335
1172,,,,,,56,338
1173,,,,,,56,336
1174,,,,,,53,334
1175,,,,,,54,334
1176,,,,,,58,334
1177,,,,,,70,330
1178,,,,,,78,336
1179,,,,,,86,332
1180,,,,,,95,333
1181,,,,,,105,337
1182,,,,,,109,331
1183,,,,,,105,336
1184,,,,,,108,330
1185,,,,,,109,338
1186,,,,,,104,334
1187,,,,,,93,331
1188,,,,,,70,337
1189,,,,,,61,339
1190,,,,,,57,336
1191,,,,,,50,337
1192,,,,,,46,337
1193,,,,,,50,341
1194,,,,,,55,334
1195,,,,,,67,336
1196,,,,,,78,335
1197,,,,,,100,339
1198,,,,,,107,334
1199,,,,,,113,334
1200,,,,,,119,333
1201,,,,,,116,335
1202,,,,,,114,332
1203,,,,,,114,335
1204,,,,,,111,337
1205,,,,,,110,334
1206,,,,,,90,331
1207,,,,,,72,333
1208,,,,,,60,332
1209,,,,,,56,335
1210,,,,,,53,334
1211,,,,,,47,338
1212,,,,,,49,334
1213,,,,,,57,338
1214,,,,,,58,336
1215,,,,,,70,339
1216,,,,,,73,336
1217,,,,,,82,337
1218,,,,,,98,337
1219,,,,,,105,332
1220,,,,,,108,333
1221,,,,,,106,338
1222,,,,,,107,334
1223,,,,,,108,333
1224,,,,,,112,335
1225,,,,,,107,334
1226,,,,,,104,334
1227,,,,,,98,335
1228,,,,,,90,338
1229,,,,,,78,336
1230,,,,,,62,337
1231,,,,,,54,337
1232,,,,,,57,332
1233,,,,,,47,336
1234,,,,,,49,336
1235,,,,,,51,334
1236,,,,,,57,337
1237,,,,,,65,333
1238,,,,,,73,333
1239,,,,,,81,334
1240,,,,,,91,338
